,v,v_err,i,i_err,vi,vi_err,x,y
2504,17.3,0.008,16.492,0.01,0.808,0.0128,1072.647,3621.195
2505,18.179,0.014,17.464,0.01,0.715,0.0172,1083.164,3748.288
2506,19.449,0.019,18.655,0.006,0.794,0.0199,1068.697,3836.577
2507,18.191,0.004,17.495,0.006,0.696,0.0072,1089.448,2991.96
2508,19.02,0.027,18.264,0.015,0.756,0.0309,1108.672,3015.804
2509,18.327,0.003,17.627,0.004,0.7,0.005,1108.415,3022.771
2510,18.516,0.011,17.808,0.003,0.708,0.0114,1096.709,3064.95
2511,19.375,0.008,18.54,0.009,0.835,0.012,1091.741,3101.696
2512,17.356,0.0016,16.562,0.006,0.794,0.0062,1101.137,3204.683
2513,19.359,0.004,18.582,0.02,0.777,0.0204,1102.812,3208.598
2514,18.261,0.009,17.555,0.006,0.706,0.0108,1101.34,3234.943
2515,18.546,0.018,17.82,0.003,0.726,0.0182,1109.807,3465.783
2516,18.819,0.015,18.078,0.005,0.741,0.0158,1098.976,3758.563
2517,17.39,0.0017,16.669,0.002,0.721,0.0026,1122.824,3100.03
2518,17.756,0.012,17.081,0.004,0.675,0.0126,1120.918,3260.584
2519,19.422,0.016,18.559,0.01,0.863,0.0189,1128.237,3342.573
2520,18.612,0.013,17.868,0.01,0.744,0.0164,1128.896,3933.862
2521,19.327,0.01,18.556,0.005,0.771,0.0112,1143.445,3265.544
2522,18.683,0.009,17.955,0.004,0.728,0.0098,1157.667,3812.983
2523,18.721,0.008,17.998,0.001,0.723,0.0081,1184.713,3233.76
2524,18.096,0.015,17.384,0.006,0.712,0.0162,1182.262,3655.848
2525,18.788,0.005,17.999,0.007,0.789,0.0086,1172.165,3880.015
2526,19.243,0.016,18.465,0.008,0.778,0.0179,1183.008,3936.363
2527,18.551,0.005,17.787,0.004,0.764,0.0064,1202.364,2995.838
2528,19.402,0.012,18.621,0.002,0.781,0.0122,1196.05,3041.22
2529,19.005,0.009,18.263,0.005,0.742,0.0103,1193.335,3204.587
2530,18.663,0.013,17.947,0.002,0.716,0.0132,1194.165,3418.275
2531,17.017,0.0065,16.139,0.0064,0.878,0.0091,1195.588,3496.73
2532,18.936,0.01,18.198,0.013,0.738,0.0164,1208.728,3631.072
2533,19.33,0.015,18.561,0.007,0.769,0.0166,1210.572,3682.044
