,v,v_err,i,i_err,vi,vi_err,x,y,Vbin,Ibin
1643,19.059,0.007,18.401,0.008,0.658,0.0106,1504.775,2760.911,77,77
1644,18.681,0.004,18.102,0.003,0.579,0.005,1529.895,2048.961,68,78
1645,19.198,0.008,18.584,0.006,0.614,0.01,1514.825,2551.297,77,77
1646,18.664,0.007,18.083,0.004,0.581,0.0081,1523.392,2620.002,67,67
1647,16.563,0.0062,15.851,0.0068,0.712,0.0092,1533.058,2774.33,37,27
1648,18.255,0.007,17.67,0.011,0.585,0.013,1537.407,2828.014,67,67
1649,18.871,0.007,18.282,0.004,0.589,0.0081,1555.283,2027.153,78,78
1650,18.296,0.005,17.736,0.004,0.56,0.0064,1549.66,2087.664,68,68
1651,16.727,0.0068,16.01,0.0073,0.717,0.01,1557.888,2201.543,38,38
1652,19.144,0.009,18.522,0.012,0.622,0.015,1561.977,2202.594,78,78
1653,17.473,0.003,16.907,0.005,0.566,0.0058,1562.326,2322.48,47,47
1654,18.281,0.008,17.74,0.005,0.541,0.0094,1559.35,2414.042,67,67
1655,18.762,0.005,18.183,0.005,0.579,0.0071,1562.447,2456.41,77,77
1656,18.547,0.003,17.979,0.004,0.568,0.005,1552.823,2528.795,67,67
1657,17.575,0.007,17.016,0.003,0.559,0.0076,1555.057,2653.618,57,57
1658,18.968,0.006,18.36,0.002,0.608,0.0063,1543.384,2920.571,77,77
1659,18.898,0.005,18.301,0.005,0.597,0.0071,1564.787,2066.764,78,78
1660,18.097,0.006,17.543,0.004,0.554,0.0072,1575.495,2157.044,58,68
1661,18.976,0.005,18.373,0.003,0.603,0.0058,1563.794,2225.23,77,77
