id x y Vvega err VIvega err Ivega err Vground Iground Nv  Ni wV wI xsig ysig othv othi qfitV qfitI RA Dec               
                                                                                                                        
                                                                                                                        
   116 3765.930  860.071   27.325   0.0985    0.505   0.3157   26.820   0.3000   27.446   26.778  1  2  1  1  0.148  0.013  0.000  0.000  1.157  1.052   182.5146879    18.5124451
   117 3770.313  845.438   26.291   0.2230    1.511   0.2242   24.780   0.0230   26.721   24.770  4  2  1  1  0.035  0.008  0.000  0.000  0.469  0.313   182.5146238    18.5122419
   118 3768.174  934.229   25.728   0.3400    1.294   0.3596   24.434   0.1170   26.105   24.413  5  5  1  1  0.004  0.032  0.000  0.000  0.323  0.243   182.5146550    18.5134751
   119 3788.994  622.967   22.414   0.0180    0.602   0.0394   21.812   0.0350   22.574   21.771  2  2  1  1  0.000  0.011  0.000  0.000  0.048  0.037   182.5143504    18.5091520
   120 3833.380  597.391   25.675   0.0423    1.147   0.0472   24.528   0.0210   26.014   24.501  1  2  1  1  0.080  0.025  0.000  0.000  0.383  0.284   182.5137002    18.5087967
   121 3821.912  636.269   24.019   0.1120    0.890   0.1920   23.129   0.1560   24.280   23.094  2  2  1  1  0.001  0.035  0.000  0.000  0.109  0.071   182.5138682    18.5093367
   122 3818.063  777.806   26.740   1.2480    1.225   1.2563   25.515   0.1440   27.100   25.491  2  2  1  1  0.163  0.011  0.004  0.005  0.466  0.452   182.5139244    18.5113025
   123 3818.976  772.115   27.167   0.0914   -0.307   3.3373   27.474   3.3360   27.101   27.404  1  2  1  1  0.348  0.035  0.030  9.900  0.856  1.417   182.5139110    18.5112235
   124 3831.688  792.786   25.204   0.1010    1.167   0.1131   24.037   0.0510   25.548   24.011  4  4  1  1  0.014  0.002  0.000  0.000  0.219  0.214   182.5137248    18.5115106
   125 3828.648  950.727   23.539   0.0580    0.776   0.0662   22.763   0.0320   23.762   22.725  4  5  1  1  0.009  0.004  0.000  0.000  0.076  0.073   182.5137692    18.5137042
   126 3843.615  960.220   27.204   1.4640   -0.148   1.4733   27.352   0.1650   27.158   27.297  2  1  1  1  0.447  0.118  0.000  0.000  1.091  1.256   182.5135500    18.5138360
   127 3850.571  985.418   25.263   0.1750    1.174   0.2673   24.089   0.2020   25.609   24.063  5  5  1  1  0.025  0.005  0.000  0.000  0.226  0.196   182.5134481    18.5141860
   128 3863.937  595.393   26.145   0.0090    1.212   0.0460   24.933   0.0451   26.502   24.909  2  1  1  1  0.045  0.024  0.000  0.000  0.469  0.383   182.5132526    18.5087690
   129 3876.125  744.299   26.283   0.1720    1.035   0.2475   25.248   0.1780   26.589   25.217  3  2  1  1  0.005  0.028  0.000  0.000  0.577  0.430   182.5130739    18.5108371
   130 3873.715  957.518   26.446   0.3620    1.296   0.3911   25.150   0.1480   26.824   25.129  4  3  1  1  0.032  0.065  0.000  0.000  0.492  0.408   182.5131090    18.5137985
   131 3912.407  721.409   27.813   0.0160    0.490   0.5502   27.323   0.5500   27.929   27.280  2  2  1  1  0.369  0.150  0.000  0.000  1.294  1.401   182.5125426    18.5105191
   132 3897.864  864.714   22.485   0.0080    0.619   0.0197   21.866   0.0180   22.651   21.825  3  4  1  1  0.003  0.001  0.000  0.000  0.041  0.043   182.5127555    18.5125095
   133 3903.763  981.102   24.600   0.0770    0.804   0.0846   23.796   0.0350   24.833   23.759  5  4  1  1  0.000  0.105  1.210  1.386  0.582  0.768   182.5126690    18.5141260
