,v,v_err,i,i_err,vi,vi_err,x,y
4671,20.364,0.005,19.923,0.014,0.441419641179876,0.0149,2643.706,3568.536
4679,20.319,0.003,19.875,0.003,0.4414125714331164,0.0042,2657.601,3834.917
4680,20.596,0.013,20.138,0.006,0.4541149926205703,0.0143,2662.815,3833.437
4681,19.522,0.004,18.945,0.012,0.5740252313175436,0.0126,2655.369,3846.916
4684,20.054,0.008,19.62,0.007,0.44018300602849736,0.0106,2677.946,2993.465
4685,20.563,0.005,20.117,0.008,0.4538222275836429,0.0094,2680.119,3008.365
4690,20.784,0.009,20.339,0.012,0.45343920488565304,0.015,2685.479,3043.848
4696,19.744,0.006,19.247,0.005,0.5023236089977254,0.0078,2666.587,3091.478
4697,20.651,0.006,20.208,0.003,0.44945830561336275,0.0067,2676.147,3108.052
4698,20.438,0.031,20.014,0.019,0.42999336987329606,0.0364,2670.776,3121.464
4699,21.52,0.044,21.035,0.04,0.49156135842411053,0.0595,2670.508,3120.127
4701,19.703,0.01,19.197,0.004,0.5103669997505652,0.0108,2666.16,3195.739
4706,21.123,0.016,20.645,0.002,0.48108939581471327,0.0161,2682.693,3238.769
4707,21.179,0.007,20.697,0.012,0.4850893958147133,0.0139,2683.365,3243.022
4708,21.354,0.004,20.863,0.007,0.49269102035534135,0.0081,2681.576,3282.032
4711,19.782,0.008,19.296,0.004,0.48842091625951783,0.0089,2676.228,3300.572
4714,21.002,0.02,20.542,0.021,0.46347871585127276,0.029,2668.203,3361.24
4715,21.393,0.009,20.908,0.01,0.4884787158512727,0.0135,2671.079,3357.256
4716,21.275,0.01,20.802,0.015,0.4764787158512727,0.018,2677.191,3362.921
4717,21.284,0.005,20.797,0.01,0.4907101194808912,0.0112,2682.116,3352.59
4718,21.591,0.03,21.083,0.025,0.5114787158512728,0.0391,2663.648,3365.552
4719,21.479,0.006,20.992,0.01,0.48782313681759076,0.0117,2675.974,3387.63
4720,21.513,0.012,21.02,0.012,0.49624703658460045,0.017,2682.943,3394.336
4722,21.477,0.01,20.967,0.017,0.5164053957902525,0.0197,2686.437,3444.868
4724,20.239,0.005,19.79,0.019,0.449419641179876,0.0196,2679.197,3479.396
4725,21.266,0.012,20.784,0.007,0.4823841770836999,0.0139,2686.448,3485.576
4726,20.229,0.004,19.783,0.006,0.4463127789027303,0.0072,2664.739,3506.052
4727,20.101,0.007,19.65,0.007,0.4513127789027303,0.0099,2684.126,3493.842
4729,21.147,0.008,20.678,0.011,0.46958217439459554,0.0136,2665.309,3590.021
4730,21.54,0.009,21.032,0.01,0.5091970052656669,0.0135,2672.483,3628.073
4733,20.165,0.007,19.716,0.005,0.44766831871265916,0.0086,2685.474,3720.547
4735,20.471,0.008,20.026,0.009,0.44202523131754357,0.012,2685.231,3818.219
4737,21.391,0.013,20.89,0.01,0.4978570311992906,0.0164,2666.854,3918.296
4738,20.991,0.008,20.526,0.008,0.4608274670226049,0.0113,2686.975,3933.712
4741,19.663,0.003,19.147,0.007,0.5206314315179734,0.0076,2699.48,2996.74
4742,20.554,0.019,20.116,0.008,0.44643920488565303,0.0206,2692.989,3034.045
4747,21.576,0.018,21.056,0.008,0.5284392048856531,0.0197,2690.699,3070.356
4748,19.255,0.006,18.654,0.006,0.6087697155058677,0.0085,2696.186,3070.348
4749,20.411,0.005,19.973,0.004,0.44445830561336275,0.0064,2701.574,3084.269
4750,21.151,0.008,20.68,0.01,0.4778700984764465,0.0128,2707.025,3079.077
4751,21.375,0.029,20.893,0.014,0.4887155838844417,0.0322,2710.406,3079.518
4754,20.285,0.007,19.846,0.012,0.44545830561336275,0.0139,2697.147,3096.317
4756,20.489,0.009,20.042,0.011,0.4532714010421915,0.0142,2703.475,3092.123
4760,21.623,0.015,21.112,0.023,0.5175613584241106,0.0275,2698.374,3127.817
4761,20.152,0.008,19.712,0.009,0.4469411074258518,0.012,2704.231,3115.207
4762,20.518,0.006,20.068,0.012,0.45678153084200346,0.0134,2707.138,3119.146
4763,21.23,0.007,20.741,0.013,0.49548831718942565,0.0148,2711.388,3133.958
4769,20.794,0.001,20.366,0.01,0.43420312809133654,0.01,2700.427,3149.087
4770,21.341,0.011,20.861,0.021,0.48525618976950835,0.0237,2693.569,3180.895
4772,20.945,0.004,20.497,0.016,0.45316123892748167,0.0165,2700.464,3199.569
4776,21.224,0.004,20.742,0.017,0.48419676399208716,0.0175,2696.855,3262.688
4778,20.221,0.013,19.776,0.007,0.4465722055250645,0.0148,2711.127,3260.648
