v,v_err,i,i_err,vi,vi_err,x,y
17.077,0.008,16.353,0.005,0.724,0.0094,2761.226,1622.153
16.691,0.006,15.999,0.008,0.692,0.01,2753.819,1753.489
18.202,0.008,17.477,0.006,0.725,0.01,2761.775,1862.634
16.695,0.007,16.087,0.008,0.608,0.0106,2777.235,1027.759
17.166,0.009,16.533,0.009,0.633,0.0127,2772.693,1128.448
16.612,0.006,16.012,0.004,0.6,0.0072,2779.499,1271.407
17.502,0.009,16.841,0.008,0.661,0.012,2787.048,1264.883
17.362,0.008,16.714,0.006,0.648,0.01,2780.236,1326.9
18.001,0.006,17.304,0.006,0.697,0.0085,2764.736,1408.55
17.437,0.007,16.794,0.006,0.643,0.0092,2782.944,1623.05
17.881,0.007,17.186,0.012,0.695,0.0139,2775.552,1661.895
17.653,0.005,16.977,0.004,0.676,0.0064,2777.826,1849.25
16.447,0.01,15.841,0.004,0.606,0.0108,2774.861,1977.725
17.373,0.009,16.729,0.008,0.644,0.012,2812.417,1237.799
17.345,0.012,16.725,0.011,0.62,0.0163,2805.024,1847.397
16.19,0.003,15.592,0.003,0.598,0.0042,2810.011,1877.297
16.977,0.012,16.349,0.006,0.628,0.0134,2792.246,1924.816
17.129,0.009,16.5,0.006,0.629,0.0108,2812.432,1932.62
17.347,0.003,16.694,0.004,0.653,0.005,2824.733,1301.572
16.321,0.005,15.719,0.005,0.602,0.0071,2836.086,1416.523
17.466,0.009,16.81,0.007,0.656,0.0114,2835.037,1753.727
17.408,0.01,16.761,0.004,0.647,0.0108,2826.65,1783.276
16.584,0.002,15.985,0.005,0.599,0.0054,2829.316,1937.808
15.794,0.008,15.15,0.004,0.644,0.0089,2854.407,1054.008
14.551,0.005,13.77,0.0052,0.781,0.0072,2857.55,1133.845
17.212,0.01,16.57,0.005,0.642,0.0112,2848.951,1184.356
